,"Sample type","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Water","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Ethanol","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Acetone","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Heptane","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol","Pentanol"
,"Concentration",9200,9200,9200,4600,4600,4600,2300,2300,2300,1150,1150,1150,575,575,575,288,288,288,28800,28800,28800,14400,14400,14400,7200,7200,7200,3600,3600,3600,1800,1800,1800,900,900,900,72800,72800,72800,36400,36400,36400,18200,18200,18200,8500,8500,8500,4250,4250,4250,2125,2125,2125,20100,20100,20100,10050,10050,10050,5025,5025,5025,2512,2512,2512,1526,1526,1526,628,628,628,1400,1400,1400,600,600,600,300,300,300,416,416,416,192,192,192,103,103,103
"Nanonose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A",,95.5,94.5,92,53,51,50,27.5,27.5,27,13.5,13,13.25,4.5,4,3.7,1.5,1.5,1.5,23,23.5,22,12.5,12.5,12,6,6,7.5,5,5.5,5.25,0.5,1,1,0,0,0,15.5,14,16,6,7,7,3,3,4,2,1.75,1.5,0,1,1,0,0,0,8.5,8.5,3,2.5,1,2.5,0.5,0.75,1.5,1,1.5,1,0.5,0.5,0.5,0,0,0,3.2,2.7,2.2,1.85,1.3,2,1.1,0.8,0.7,0.4,0.4,0.4,0.2,0.2,0.2,0.0,0.0,0.0
"B",,21,17,16,7.5,7.5,8,4,4.5,4,1.5,2,2.5,0.8,0.8,0.5,0,0,0,51,61,63.5,50.5,51,50,33.5,32,31.5,23.5,24,23.75,11.8,12.3,11.4,5.5,5.7,5.5,84.5,110,128,91,87.5,80,68,63,64,49,51.5,47.5,29,27,26,14,13,14,8.5,8.5,4,5.5,-0.5,0.5,0.5,1.25,1.5,0.5,1,0,0,0,0,0,0,0,16,16.5,14.4,6.05,6.2,6,3.45,3.4,3.85,7.9,5.6,5.4,1.7,3.1,2.5,1.3,1.1,1.7
"C",,6,5,3,2.5,2.5,2.5,1.5,1.5,1.5,0,0.5,0.25,0,0,0,0,0,0,25,30.2,30.5,20,20.5,18,12.5,11.5,11.5,8.2,9,8.6,3.5,3.3,3.5,1.5,1.5,1.8,42.5,44,51,33,30,30,21,20,20,13,15.5,13,8,8,8,4,4,4,12.5,12.5,13,9.5,8,9.5,5.5,5.75,6,4,4.5,3.8,2,2,2,0.5,1,1.5,20.5,20.2,20.4,14.5,14.2,13.7,9.8,9.3,9.6,18.5,15.8,15.0,8.6,9.1,8.7,5.6,4.9,6.4
"D",,11.9,5.5,11.1,3.5,4.9,4.0,2.2,2.2,3.1,1.8,2.7,2.7,0.4,0.9,1.3,0.0,0.0,0.0,96,129,149,60,52,50,26,28,25,10.7,10.7,10.7,3.4,3.4,3.2,1.7,1.7,2.3,235.5,191.0,141.3,89.4,114.5,116.3,66.6,83.5,85.4,36.1,36.1,36.1,16.7,23.3,15.0,8.7,8.7,8.7,16,13.25,10.5,8,7,10,7,7,7,3,3,2,0,0,0,0,0,0,-3,-3,-3,-1.5,-1.5,-1.5,-0.75,-1,-1,-0.5,-0.5,-0.5,-0.25,-0.25,-0.25,0,0,0
"E",,64.1,63.2,62.6,35.2,34.1,33.6,18.4,17.3,17.5,9.7,10.6,8.8,2.4,3.7,3.8,1.1,1.3,1.5,142.5,142,140.5,94.5,93.5,89.5,65.5,63,61,38.0,37.7,38.5,22.8,23.1,22.8,12.1,12.4,12.7,122.9,117.8,110.5,77.8,78.3,72.0,53.0,59.1,55.8,33.5,34.1,33.6,17.3,17.9,17.3,7.8,8.2,7.4,1.5,2,2,1.5,1.25,1.25,1.75,1.5,1.75,1,1,1,0.5,0.5,0,0,0,0,9.75,7,6.625,3.125,3.125,3.25,1.75,1.75,1.875,2.65,1.625,2.3,1.3,1.3,1.125,0.65,0.8,0.8
"F",,21.50,19.66,19.81,6.88,6.76,6.77,2.80,2.63,2.65,1.11,1.08,0.42,0.65,0.41,0.33,0.13,-0.06,0.35,69.5,65.6,64.3,30.2,30.5,28.3,13.8,14.0,14.1,6.0,6.2,5.5,2.8,2.5,2.6,0.9,1.5,1.2,74.3,70.5,69.7,31.8,31.5,31.5,14.8,15.4,15.6,6.0,6.1,5.9,2.3,2.4,2.5,0.6,0.8,1.1,8.66,7.16,7.93,3.80,3.54,3.63,1.46,1.86,1.72,0.52,0.56,0.45,0.09,0.16,0.28,0.10,0.15,0.07,67.9,62.3,62.1,45.0,44.2,44.2,20.8,21.5,21.9,28.9,29.8,30.4,5.8,4.8,5.1,1.8,2.3,1.9
"G",,5.57,4.97,5.19,1.64,1.61,1.78,0.56,0.85,0.62,0.50,0.45,0.12,0.53,0.35,0.25,0.14,0.05,0.55,39.0,39.3,39.4,31.7,31.5,30.9,22.0,22.2,21.8,14.9,14.6,13.8,10.1,9.9,9.9,5.7,5.9,5.7,55.1,53.9,54.1,40.8,40.5,40.4,29.3,29.6,29.2,17.3,17.5,17.2,12.0,11.9,11.9,6.5,6.9,6.6,14.79,13.48,13.26,7.34,7.11,7.06,3.39,4.07,3.86,1.74,1.62,1.72,0.85,0.91,1.03,0.08,0.36,0.37,36.6,29.4,29.4,38.0,37.7,37.9,30.0,30.9,30.1,41.6,42.9,41.7,14.2,11.2,12.0,6.7,7.0,7.1
"H",,1.17,1.88,0.56,0.14,0.06,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.4,35.5,36.2,18.2,18.2,18.3,10.0,10.3,9.6,5.6,4.6,5.2,3.3,3.4,3.4,1.7,1.5,1.9,201.3,207.8,206.7,88.6,90.0,90.3,44.3,43.9,44.1,20.3,18.9,18.0,9.6,8.7,8.9,3.9,3.8,4.2,100.55,86.57,116.00,11.95,12.57,11.84,1.74,2.81,3.03,1.41,1.48,1.30,0.65,0.55,0.69,0.30,0.33,0.28,33.1,30.3,25.1,5.4,6.1,6.3,0.0,0.0,0.0,2.1,4.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0
